Temperature,Humidity,CO2_InfraredSensor,CO2_ElectroChemicalSensor,CO_GasSensor,Ambient Light Level,Activity Level,MetalOxide_PCA,Time of Day_evening,Time of Day_morning,Time of Day_night,HVAC Operation Mode_eco_mode,HVAC Operation Mode_heating_active,HVAC Operation Mode_maintenance_mode,HVAC Operation Mode_off,HVAC Operation Mode_ventilation_only
19.63,53.83,125.48638889386146,571.0894404005941,2.0,0.0,0,-0.6644211800812178,0,1,0,0,0,0,1,0
29.580000000000005,53.69,126.34301779230884,575.7895013249874,1.0,2.0,0,-0.5332906580064374,0,1,0,0,0,0,0,1
19.62,54.25,126.56069531734414,585.5431108620268,1.0,3.0,0,-0.5193890686898504,0,1,0,1,0,0,0,0
20.1,50.48,113.50487704868364,597.4499614529277,1.0,3.0,2,0.5453820180734441,0,1,0,1,0,0,0,0
19.89,48.42,92.76622507456489,613.6548751466296,1.0,,0,2.1017721357025154,0,1,0,0,1,0,0,0
19.82,47.71,79.48974205084569,616.3497051547673,1.0,3.0,0,3.2075287912238903,0,0,0,0,0,0,0,1
20.04,48.42,118.29352940659398,582.6246432530887,1.0,2.0,0,0.5885315883956072,0,0,1,0,1,0,0,0
19.29,52.67,136.29268020578434,574.121554824303,1.0,2.0,1,0.028063690786573794,0,0,1,0,0,1,0,0
29.580000000000005,47.92,74.10032167335173,624.5772704960212,0.0,3.0,0,3.649413858051219,0,0,0,0,0,1,0,0
19.81,42.15250000000002,54.38711065196236,595.833259999518,1.0,3.0,0,0.3545142448847198,0,0,1,0,0,0,0,1
19.19,49.51,78.75234477313136,619.2336522060667,0.0,2.0,1,3.7337693952934954,0,0,0,0,0,0,0,0
19.71,48.68,80.16133178072401,615.9724578245202,0.0,3.0,1,3.3562647001977366,0,0,0,1,0,0,0,0
17.79,51.15,116.5550379338856,590.7474883789356,1.0,3.0,1,-0.07789294446913113,0,1,0,0,0,0,0,1
19.51,49.93,85.29428449498913,612.3731129536136,0.0,3.0,1,2.2044226914583054,0,0,0,1,0,0,0,0
19.66,50.04,81.19902144368817,613.2890781451013,0.0,1.0,1,2.126831864608162,0,0,0,0,0,0,1,0
18.53,51.39,80.14837535140387,590.7029338691801,0.0,3.0,0,3.6879209788712077,0,1,0,0,1,0,0,0
19.26,51.57,86.13190538964307,618.5778575759722,0.0,1.0,1,1.9649851826283453,0,0,0,0,0,0,0,0
19.73,50.62,91.73610744435756,619.3429119640839,0.0,3.0,2,1.5646670493436108,0,0,0,0,1,0,0,0
18.74,52.3,113.24318932927537,573.3944294540486,3.0,2.0,0,-1.1585909565586214,0,1,0,0,1,0,0,0
19.57,51.23,91.1684991852278,611.561714380349,1.0,3.0,1,1.5730551371365615,0,0,0,0,0,1,0,0
19.55,51.58,89.72130174950759,614.7358453770214,1.0,1.0,0,1.5746446469797488,0,0,0,0,0,0,0,0
19.96,50.99,86.20857273092153,618.5202113503011,1.0,,0,1.1221838003476425,0,0,0,1,0,0,0,0
19.55,51.88,88.87694252562946,617.4599487988,1.0,2.0,1,1.4840697453922505,0,0,0,1,0,0,0,0
19.25,54.37,54.38711065196236,574.7489344781393,1.0,3.0,1,0.7990215705199585,0,1,0,0,0,0,0,1
29.580000000000005,51.95,84.58108493177889,617.3169154352119,1.0,3.0,1,1.9002449036217406,0,0,0,1,0,0,0,0
19.46,51.39,81.85035146477381,616.5498833269137,1.0,0.0,0,0.5159709685606064,0,0,0,0,0,1,0,0
18.26,50.82,125.73975815027084,580.6355509879996,1.0,,0,1.2593424087463234,0,0,1,0,1,0,0,0
29.580000000000005,50.12,79.58507108385548,614.2399969699824,1.0,3.0,1,0.8075460636489653,0,1,0,0,0,0,0,1
29.580000000000005,51.34,115.2036945122518,571.3932722757884,2.0,3.0,0,0.83058890130886,0,0,0,0,0,0,0,1
17.92,44.65,88.62477039778327,599.7606353718422,0.0,2.0,2,0.7421344030018117,0,0,0,0,0,1,0,0
20.52,51.39,88.13180383650743,614.9737473322767,1.0,2.0,1,1.0037901881740892,0,0,0,0,0,0,0,0
17.95,54.83,103.53299051750672,598.4625451648071,1.0,3.0,1,2.244698633704037,0,1,0,0,0,0,1,0
20.69,47.47,113.84106497478012,577.9188516822545,1.0,3.0,2,-0.0847109944753509,0,0,1,0,0,0,1,0
19.56,56.21,137.54577547024024,556.5385385401078,2.0,1.0,2,-1.9742846757761867,0,1,0,0,0,0,0,0
