Temperature,Humidity,CO2_InfraredSensor,CO2_ElectroChemicalSensor,CO_GasSensor,Ambient Light Level,Activity Level,CO2_Average,CO2_Divergence,MetalOxide_PCA,Time of Day_evening,Time of Day_morning,Time of Day_night,HVAC Operation Mode_eco_mode,HVAC Operation Mode_heating_active,HVAC Operation Mode_maintenance_mode,HVAC Operation Mode_off,HVAC Operation Mode_ventilation_only
19.63,53.83,125.48638889386146,571.0894404005941,2.0,0,0,348.28791464722775,445.60305150673264,-0.6654587752710002,0,1,0,0,0,0,1,0
29.525,53.69,126.34301779230884,575.7895013249874,1.0,3,0,351.06625955864814,449.4464835326786,-0.5347967895306571,0,1,0,0,0,0,0,1
19.62,54.25,126.56069531734414,585.5431108620268,1.0,4,0,356.0519030896854,458.9824155446826,-0.5214826880179425,0,1,0,1,0,0,0,0
20.1,50.48,113.50487704868364,597.4499614529277,1.0,4,2,355.47741925080567,483.9450844042441,0.5448814070699686,0,1,0,1,0,0,0,0
19.89,48.42,92.76622507456489,613.6548751466296,1.0,2,0,353.21055011059724,520.8886500720647,2.102961326477105,0,1,0,0,1,0,0,0
19.82,47.71,79.48974205084569,616.3497051547673,1.0,4,0,347.9197236028065,536.8599631039216,3.209307139137584,0,0,0,0,0,0,0,1
20.04,48.42,118.29352940659398,582.6246432530887,1.0,3,0,350.45908632984134,464.33111384649476,0.5908690281969773,0,0,1,0,1,0,0,0
19.29,52.67,136.29268020578434,574.121554824303,1.0,3,1,355.20711751504365,437.8288746185186,0.030069753123722818,0,0,1,0,0,1,0,0
29.525,47.92,74.10032167335173,624.5772704960212,0.0,4,0,349.33879608468646,550.4769488226696,3.6552820633322893,0,0,0,0,0,1,0,0
19.81,42.125,54.84060484855865,595.833259999518,1.0,4,0,325.3369324240383,540.9926551509593,0.3564309246657996,0,0,1,0,0,0,0,1
19.19,49.51,78.75234477313136,619.2336522060667,0.0,3,1,348.992998489599,540.4813074329354,3.7395698732188682,0,0,0,0,0,0,0,0
19.71,48.68,80.16133178072401,615.9724578245202,0.0,4,1,348.06689480262213,535.8111260437962,3.35710309243954,0,0,0,1,0,0,0,0
17.79,51.15,116.5550379338856,590.7474883789356,1.0,4,1,353.6512631564106,474.19245044505,-0.07565908267136177,0,1,0,0,0,0,0,1
19.51,49.93,85.29428449498913,612.3731129536136,0.0,4,1,348.83369872430137,527.0788284586245,2.2054574365560136,0,0,0,1,0,0,0,0
19.66,50.04,81.19902144368817,613.2890781451013,0.0,1,1,347.2440497943947,532.0900567014131,2.1269055866606985,0,0,0,0,0,0,1,0
18.53,51.39,80.14837535140387,590.7029338691801,0.0,4,0,335.425654610292,510.5545585177763,3.694485061473782,0,1,0,0,1,0,0,0
19.26,51.57,86.13190538964307,618.5778575759722,0.0,1,1,352.3548814828076,532.4459521863291,1.9652531840341638,0,0,0,0,0,0,0,0
19.73,50.62,91.73610744435756,619.3429119640839,0.0,4,2,355.53950970422073,527.6068045197263,1.5651732039994128,0,0,0,0,1,0,0,0
18.74,52.3,113.24318932927537,573.3944294540486,3.0,3,0,343.31880939166194,460.1512401247732,-1.156117006192436,0,1,0,0,1,0,0,0
19.57,51.23,91.1684991852278,611.561714380349,1.0,4,1,351.3651067827884,520.3932151951212,1.5743553694924415,0,0,0,0,0,1,0,0
19.55,51.58,89.72130174950759,614.7358453770214,1.0,1,0,352.2285735632645,525.0145436275138,1.5741279274648179,0,0,0,0,0,0,0,0
19.96,50.99,86.20857273092153,618.5202113503011,1.0,2,0,352.36439204061134,532.3116386193796,1.1225542281589636,0,0,0,1,0,0,0,0
19.55,51.88,88.87694252562946,617.4599487988,1.0,3,1,353.16844566221476,528.5830062731706,1.484929528909912,0,0,0,1,0,0,0,0
19.25,54.37,54.84060484855865,574.7489344781393,1.0,4,1,314.794769663349,519.9083296295806,0.8012248947603545,0,1,0,0,0,0,0,1
29.525,51.95,84.58108493177889,617.3169154352119,1.0,4,1,350.9490001834954,532.7358305034329,1.9013956212563168,0,0,0,1,0,0,0,0
19.46,51.39,81.85035146477381,616.5498833269137,1.0,0,0,349.20011739584373,534.6995318621399,0.5112094263941453,0,0,0,0,0,1,0,0
18.26,50.82,125.73975815027084,580.6355509879996,1.0,2,0,353.18765456913525,454.8957928377288,1.2616771762591898,0,0,1,0,1,0,0,0
29.525,50.12,79.58507108385548,614.2399969699824,1.0,4,1,346.91253402691893,534.6549258861269,0.8034506759425348,0,1,0,0,0,0,0,1
